,vote,sponsors,history,sponser_parties_set(),"sponser_parties_{'D', 'R'}",sponser_parties_{'D'},"sponser_parties_{'I', 'D', 'R'}","sponser_parties_{'I', 'D'}","sponser_parties_{'I', 'R'}",sponser_parties_{'I'},sponser_parties_{'R'},bill_type_B,bill_type_CR,bill_type_JR,bill_type_R,body_H,body_S,status_1,status_2,status_3,status_4,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
0,1,0.0,0.188470066518847,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0.005319187000742835,0.8534450207830153,5.665722379805525e-05,0.0020091826515852887,0.004475268020671806,5.665722379786074e-05,0.001548366104187606,5.665722380215312e-05,0.010465111943168152,0.0014730878158927315,5.6657223812067834e-05,5.6657223798153454e-05,5.66572238081141e-05,5.6657223797671106e-05,0.001504871075389841,5.665722379754951e-05,0.023954109576872,0.062474881597598585,0.0034734297561346858,0.0033047692166785084,0.006463261900193531,5.6657223797659823e-05,0.0015270720826413287,0.0016098424350061615,0.016442623026012286
1,1,0.0,0.188470066518847,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0.005319187000742835,0.8534450207830153,5.665722379805525e-05,0.0020091826515852887,0.004475268020671806,5.665722379786074e-05,0.001548366104187606,5.665722380215312e-05,0.010465111943168152,0.0014730878158927315,5.6657223812067834e-05,5.6657223798153454e-05,5.66572238081141e-05,5.6657223797671106e-05,0.001504871075389841,5.665722379754951e-05,0.023954109576872,0.062474881597598585,0.0034734297561346858,0.0033047692166785084,0.006463261900193531,5.6657223797659823e-05,0.0015270720826413287,0.0016098424350061615,0.016442623026012286
2,2,0.0,0.188470066518847,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0.005319187000742835,0.8534450207830153,5.665722379805525e-05,0.0020091826515852887,0.004475268020671806,5.665722379786074e-05,0.001548366104187606,5.665722380215312e-05,0.010465111943168152,0.0014730878158927315,5.6657223812067834e-05,5.6657223798153454e-05,5.66572238081141e-05,5.6657223797671106e-05,0.001504871075389841,5.665722379754951e-05,0.023954109576872,0.062474881597598585,0.0034734297561346858,0.0033047692166785084,0.006463261900193531,5.6657223797659823e-05,0.0015270720826413287,0.0016098424350061615,0.016442623026012286
3,1,0.0,0.188470066518847,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0.005319187000742835,0.8534450207830153,5.665722379805525e-05,0.0020091826515852887,0.004475268020671806,5.665722379786074e-05,0.001548366104187606,5.665722380215312e-05,0.010465111943168152,0.0014730878158927315,5.6657223812067834e-05,5.6657223798153454e-05,5.66572238081141e-05,5.6657223797671106e-05,0.001504871075389841,5.665722379754951e-05,0.023954109576872,0.062474881597598585,0.0034734297561346858,0.0033047692166785084,0.006463261900193531,5.6657223797659823e-05,0.0015270720826413287,0.0016098424350061615,0.016442623026012286
4,1,0.0,0.188470066518847,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0.005319187000742835,0.8534450207830153,5.665722379805525e-05,0.0020091826515852887,0.004475268020671806,5.665722379786074e-05,0.001548366104187606,5.665722380215312e-05,0.010465111943168152,0.0014730878158927315,5.6657223812067834e-05,5.6657223798153454e-05,5.66572238081141e-05,5.6657223797671106e-05,0.001504871075389841,5.665722379754951e-05,0.023954109576872,0.062474881597598585,0.0034734297561346858,0.0033047692166785084,0.006463261900193531,5.6657223797659823e-05,0.0015270720826413287,0.0016098424350061615,0.016442623026012286
5,2,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
6,1,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
7,3,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
8,3,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
9,1,0.0,0.31263858093126384,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,6.069802731559654e-05,0.8670509346928388,0.003134590554254163,0.007368206526851688,6.069802731859442e-05,6.069802731550625e-05,0.0025854579825102283,0.004760381414543725,0.0042171315847567645,0.0015781487083003176,6.0698027317774305e-05,6.069802731580114e-05,6.069802731550625e-05,6.0698027316495387e-05,0.0015781487072187145,6.069802731552711e-05,6.069802731709187e-05,0.06862687983045983,0.006490849008392339,0.0037560518942224173,0.005025694671390946,0.004613050075046025,6.0698027315785424e-05,0.006048461441979697,0.012559032634070945
